iter	Passed	Remaining
147	1931	4593
148	1942	4575
149	1953	4559
150	1965	4543
151	1977	4526
152	1989	4511
153	2001	4496
154	2012	4478
155	2022	4460
156	2034	4444
157	2045	4428
158	2057	4412
159	2068	4396
160	2080	4381
161	2091	4363
162	2102	4347
163	2114	4332
164	2125	4315
165	2135	4297
166	2147	4281
167	2157	4262
168	2167	4246
169	2181	4234
170	2193	4220
171	2204	4204
172	2217	4190
173	2227	4173
174	2239	4158
175	2251	4144
176	2262	4129
177	2276	4117
178	2286	4100
179	2298	4086
180	2311	4073
181	2322	4058
182	2332	4041
183	2344	4026
184	2355	4010
185	2365	3993
186	2377	3978
187	2388	3963
188	2399	3948
189	2409	3931
190	2420	3916
191	2432	3901
192	2445	3890
193	2459	3879
194	2473	3869
195	2485	3854
196	2497	3841
197	2511	3830
198	2523	3816
199	2534	3802
200	2546	3787
201	2558	3774
202	2570	3760
203	2580	3744
204	2591	3729
205	2602	3714
206	2613	3699
207	2625	3686
208	2636	3670
209	2646	3655
210	2658	3641
211	2670	3627
212	2680	3612
213	2691	3596
214	2704	3585
215	2717	3573
216	2730	3561
217	2743	3548
218	2755	3535
219	2767	3522
220	2777	3506
221	2788	3491
222	2799	3476
223	2810	3462
224	2821	3448
225	2832	3434
226	2843	3419
227	2853	3404
228	2864	3390
229	2875	3375
230	2885	3360
231	2897	3347
232	2908	3332
233	2921	3320
234	2933	3307
235	2945	3294
236	2956	3280
237	2968	3268
238	2982	3257
239	2996	3246
240	3008	3233
241	3020	3220
242	3032	3207
243	3045	3195
244	3057	3182
245	3070	3169
246	3083	3157
247	3095	3144
248	3107	3132
249	3119	3119
250	3131	3106
251	3144	3094
252	3155	3080
253	3167	3067
254	3178	3054
255	3191	3042
256	3204	3029
257	3216	3017
258	3229	3004
259	3243	2993
260	3255	2980
261	3266	2966
262	3280	2956
263	3293	2944
264	3306	2932
265	3318	2919
266	3331	2906
267	3346	2896
268	3359	2884
269	3372	2872
270	3385	2860
271	3396	2846
272	3409	2834
273	3421	2822
274	3433	2809
275	3444	2795
276	3456	2782
277	3468	2770
278	3479	2756
279	3490	2742
280	3501	2728
281	3513	2715
282	3523	2701
283	3534	2688
284	3546	2675
285	3556	2660
286	3567	2647
287	3578	2634
288	3589	2620
289	3601	2607
290	3613	2595
291	3624	2581
292	3635	2568
293	3646	2555
294	3657	2541
295	3667	2527
296	3679	2515
297	3690	2501
298	3700	2487
299	3712	2474
300	3722	2460
301	3733	2447
302	3743	2434
303	3754	2420
304	3765	2407
305	3776	2394
306	3786	2380
307	3796	2366
308	3807	2353
309	3819	2340
310	3831	2328
311	3841	2314
312	3852	2301
313	3863	2288
314	3874	2275
315	3885	2262
316	3897	2249
317	3908	2236
318	3919	2223
319	3931	2211
320	3942	2198
321	3954	2186
322	3965	2172
323	3976	2160
324	3987	2147
325	3998	2134
326	4008	2120
327	4021	2108
328	4031	2095
329	4043	2083
330	4053	2069
331	4064	2056
332	4074	2043
333	4085	2030
334	4096	2017
335	4106	2004
336	4118	1991
337	4128	1978
338	4139	1966
339	4150	1953
340	4160	1939
341	4171	1927
342	4182	1914
343	4193	1901
344	4204	1888
345	4215	1876
346	4226	1863
347	4237	1850
348	4249	1838
349	4260	1825
350	4271	1813
351	4284	1801
352	4295	1788
353	4307	1776
354	4319	1764
355	4331	1752
356	4341	1739
357	4352	1726
358	4364	1714
359	4374	1701
360	4386	1688
361	4397	1676
362	4407	1663
363	4419	1651
364	4430	1638
365	4441	1626
366	4453	1614
367	4464	1601
368	4475	1588
369	4486	1576
370	4498	1564
371	4509	1551
372	4520	1539
373	4531	1526
374	4543	1514
375	4554	1501
376	4565	1489
377	4576	1477
378	4586	1464
379	4598	1452
380	4610	1439
381	4620	1427
382	4630	1414
383	4642	1402
384	4653	1389
385	4663	1377
386	4675	1365
387	4685	1352
388	4697	1340
389	4708	1327
390	4718	1315
391	4729	1302
392	4740	1290
393	4751	1278
394	4762	1266
395	4773	1253
396	4784	1241
397	4795	1228
398	4805	1216
399	4815	1203
400	4827	1191
401	4837	1179
402	4848	1166
403	4858	1154
404	4870	1142
405	4880	1130
406	4892	1117
407	4903	1105
408	4913	1093
409	4924	1080
410	4935	1068
411	4945	1056
412	4957	1044
413	4970	1032
414	4981	1020
415	4993	1008
416	5005	996
417	5016	984
418	5027	971
419	5038	959
420	5050	947
421	5061	935
422	5073	923
423	5085	911
424	5097	899
425	5108	887
426	5119	875
427	5129	862
428	5139	850
429	5151	838
430	5162	826
431	5172	814
432	5185	802
433	5200	790
434	5213	779
435	5228	767
436	5240	755
437	5253	743
438	5265	731
439	5278	719
440	5290	707
441	5301	695
442	5314	683
443	5325	671
444	5336	659
445	5349	647
446	5361	635
447	5373	623
448	5384	611
449	5395	599
450	5406	587
451	5417	575
452	5430	563
453	5443	551
454	5455	539
455	5468	527
456	5482	515
457	5495	503
458	5506	491
459	5518	479
460	5529	467
461	5540	455
462	5551	443
463	5562	431
464	5573	419
465	5585	407
466	5595	395
467	5607	383
468	5618	371
469	5629	359
470	5640	347
471	5650	335
472	5661	323
473	5672	311
474	5682	299
475	5692	287
476	5703	275
477	5714	262
478	5724	250
479	5736	239
480	5746	226
481	5756	214
482	5767	202
483	5777	190
484	5788	179
485	5799	167
486	5809	155
487	5821	143
488	5832	131
489	5843	119
490	5853	107
491	5864	95
492	5874	83
493	5886	71
494	5898	59
495	5909	47
496	5919	35
497	5931	23
498	5941	11
499	5952	0
