iter	RMSE
303	93.31735437
304	93.24372742
305	93.21671982
306	93.19358107
307	93.17169575
308	93.08647342
309	93.05731641
310	93.02389944
311	93.01026121
312	92.96977329
313	92.95533302
314	92.93323894
315	92.90625917
316	92.86427718
317	92.84119859
318	92.80063339
319	92.78582612
320	92.76847318
321	92.74960983
322	92.71297088
323	92.68996316
324	92.65718504
325	92.62110184
326	92.5880873
327	92.52285133
328	92.50871573
329	92.44075411
330	92.41514859
331	92.38542173
332	92.35665757
333	92.32610764
334	92.31304737
335	92.30100362
336	92.28378148
337	92.26310015
338	92.24429383
339	92.18040875
340	92.16111193
341	92.13969388
342	92.07361106
343	92.03490587
344	92.00698943
345	91.93806384
346	91.90300315
347	91.88618291
348	91.85793229
349	91.84418574
350	91.83154863
351	91.75581659
352	91.73063102
353	91.69876804
354	91.67346736
355	91.6512265
356	91.62837641
357	91.60589735
358	91.58898064
359	91.56948009
360	91.55239877
361	91.5245271
362	91.51027345
363	91.44942606
364	91.39145968
365	91.37879881
366	91.36456805
367	91.34993136
368	91.32419471
369	91.30547178
370	91.28022571
371	91.25861173
372	91.24569061
373	91.2353669
374	91.22056089
375	91.21167698
376	91.19280936
377	91.18176951
378	91.15942481
379	91.14573002
380	91.1225227
381	91.11323899
382	91.09383329
383	91.08048107
384	91.06117666
385	91.03395771
386	90.98237545
387	90.89857555
388	90.84537206
389	90.82632225
390	90.80031763
391	90.77985444
392	90.75995725
393	90.75031597
394	90.73298662
395	90.72214833
396	90.69724907
397	90.67789383
398	90.6618184
399	90.64503496
400	90.61960722
401	90.61169227
402	90.60222378
403	90.58843551
404	90.5746423
405	90.55870824
406	90.54312885
407	90.53505793
408	90.51710917
409	90.49939706
410	90.44286096
411	90.42554006
412	90.40918292
413	90.40084941
414	90.38503713
415	90.37100758
416	90.35993768
417	90.33837508
418	90.32356881
419	90.30879645
420	90.29214367
421	90.26817468
422	90.2109693
423	90.15803216
424	90.14255068
425	90.13006495
426	90.10782989
427	90.09153009
428	90.08293367
429	90.06232794
430	90.05158862
431	90.03181655
432	90.02066306
433	90.00335382
434	89.99306508
435	89.98040703
436	89.96771636
437	89.95230485
438	89.9391598
439	89.92819504
440	89.91884345
441	89.9079847
442	89.89349105
443	89.86943824
444	89.85491932
445	89.84485479
446	89.82606137
447	89.80928798
448	89.79986795
449	89.78049705
450	89.7637102
451	89.74129807
452	89.72817282
453	89.70925011
454	89.69832554
455	89.68713997
456	89.66918117
457	89.65654204
458	89.64507134
459	89.62632999
460	89.61269977
461	89.6055446
462	89.5939732
463	89.58256176
464	89.56877126
465	89.55169827
466	89.54262216
467	89.5321995
468	89.52229945
469	89.48797505
470	89.46177427
471	89.44884492
472	89.43991718
473	89.42934796
474	89.39044103
475	89.37817255
476	89.36575254
477	89.34919839
478	89.32657068
479	89.31619451
480	89.30590281
481	89.29942442
482	89.2869422
483	89.26609154
484	89.25016773
485	89.23642581
486	89.22435493
487	89.21856067
488	89.20483458
489	89.19781591
490	89.18373847
491	89.17364579
492	89.1652216
493	89.15408855
494	89.1346879
495	89.12362134
496	89.11524518
497	89.10720104
498	89.08864954
499	89.05757227
