iter	RMSE
0	544.2227138
1	519.8061324
2	496.9182261
3	475.0519499
4	454.6007195
5	435.0340861
6	416.6476881
7	399.3009158
8	382.734031
9	367.2602987
10	352.4639841
11	338.5338036
12	325.3527569
13	312.8797853
14	300.9486716
15	289.9525297
16	279.3851654
17	269.4958402
18	260.261499
19	251.5112711
20	243.272478
21	235.3527338
22	227.8983864
23	221.0008173
24	214.5191908
25	208.3951244
26	202.5212547
27	197.0482047
28	192.0363368
29	187.3405635
30	182.7992827
31	178.6781888
32	174.7162236
33	170.9803434
34	167.60131
35	164.4346833
36	161.4764207
37	158.6845224
38	156.1281763
39	153.7225895
40	151.3810571
41	149.2694048
42	147.0944801
43	145.2978493
44	143.59261
45	141.7046674
46	139.93883
47	138.4588685
48	137.0292685
49	135.7845093
50	134.6420137
51	133.5611829
52	132.5928328
53	131.6939486
54	130.7108774
55	129.9149885
56	129.0545895
57	128.2621588
58	127.6205195
59	126.9887269
60	126.332665
61	125.704229
62	125.0152719
63	124.3712412
64	123.7411656
65	123.2428556
66	122.5969536
67	122.0080168
68	121.5040365
69	121.042403
70	120.6006748
71	120.0132649
72	119.5562303
73	119.19103
74	118.8154052
75	118.3561104
76	117.8919603
77	117.5642339
78	117.2156313
79	116.832987
80	116.5233007
81	116.2590856
82	115.8236398
83	115.4253616
84	115.0431567
85	114.5794835
86	114.2313939
87	114.0302838
88	113.6755225
89	113.3295613
90	113.0448848
91	112.8135685
92	112.5894
93	112.3745572
94	112.0487306
95	111.7869889
96	111.6212984
97	111.4308724
98	111.1384637
99	110.9536073
100	110.628253
101	110.3668453
102	110.2083171
103	110.074163
104	109.8860451
105	109.6176051
106	109.4411994
107	109.1733914
108	109.0400206
109	108.886217
110	108.6603522
111	108.5004847
112	108.2221022
113	108.0605125
114	107.8626681
115	107.7161201
116	107.5835314
117	107.2540213
118	107.1106029
119	106.9683536
120	106.803003
121	106.6504231
122	106.5071216
123	106.3032387
124	106.2040344
125	106.084684
126	105.9398083
127	105.8616241
128	105.7634303
129	105.6257489
130	105.4608948
131	105.3427823
132	105.2429019
133	105.0932734
134	104.9042443
135	104.7531275
136	104.6062799
137	104.5142468
138	104.4115055
139	104.3400528
140	104.1968902
141	104.0743913
142	103.9948741
143	103.9172805
144	103.7603014
145	103.6313183
146	103.5283241
147	103.4076669
148	103.256932
149	103.1388379
150	103.0556736
151	102.8690661
152	102.746805
153	102.6736607
154	102.4919708
155	102.3902027
156	102.3162792
157	102.1110127
158	101.9772999
159	101.8940745
160	101.8242939
161	101.7578282
162	101.6929464
163	101.6293639
164	101.5255143
165	101.4324873
166	101.3661152
167	101.2949245
168	101.0778517
169	100.9900918
170	100.9149956
171	100.8564605
172	100.8037353
173	100.7054984
174	100.5711927
175	100.4327476
176	100.2587905
177	100.1567709
178	100.092151
179	100.0360339
180	99.97838601
181	99.78304485
182	99.72751389
183	99.65563525
184	99.56017005
185	99.51453585
186	99.4395522
187	99.37544436
188	99.30483371
189	99.25834994
190	99.190697
191	99.14898113
192	99.08236996
193	99.0013354
194	98.95314961
195	98.87105677
196	98.72993704
197	98.68374572
198	98.53206171
199	98.48584257
200	98.41530924
201	98.38690865
202	98.35007691
203	98.31416819
204	98.25383917
205	98.19076657
206	98.05745573
207	97.90739539
208	97.84226644
209	97.77958068
210	97.69190027
211	97.59123396
212	97.54197967
213	97.45899876
214	97.40796139
215	97.38374201
216	97.31190607
217	97.23760191
218	97.17578108
219	97.14282085
220	97.10619812
221	97.07795675
222	97.04312639
223	96.98980385
224	96.91029405
225	96.87002759
226	96.78399775
227	96.72148665
228	96.66543275
229	96.64245808
230	96.53575292
231	96.47980058
232	96.4453201
233	96.3590294
234	96.32270689
235	96.2909614
236	96.20828702
237	96.18053042
238	96.14291216
239	96.10628615
240	96.05705279
241	96.02643043
242	95.98836755
243	95.96754513
244	95.91942651
245	95.86428508
246	95.82216685
247	95.78131047
248	95.720349
249	95.65743307
250	95.60866031
251	95.56921847
252	95.53900905
253	95.50197108
254	95.47026891
255	95.36578124
256	95.32824831
257	95.29331153
258	95.25665158
259	95.17997386
260	95.15086933
261	95.12433478
262	95.09808651
263	95.03865374
264	94.9973427
265	94.96386828
266	94.87599461
267	94.8171075
268	94.78474373
269	94.68953052
270	94.65716402
271	94.56154885
272	94.52507263
273	94.48368804
274	94.42223714
275	94.38564147
276	94.33646655
277	94.2953381
278	94.25403439
279	94.23555623
280	94.16764093
281	94.13491149
282	94.05630645
283	94.03233115
284	94.01524719
285	93.97942744
286	93.95522657
287	93.9207467
288	93.90266519
289	93.88614918
290	93.86326595
291	93.83525866
292	93.81666227
293	93.78135882
294	93.73903661
295	93.65093851
296	93.61737679
297	93.57303178
298	93.54844446
299	93.46911859
300	93.43721625
301	93.40007334
302	93.36219766
